Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.28,-.04,-.36,-.12,-.01,-.80,-.48,-.27,-.14,-.09,-.04,.05,.66
1881,-.07,-.16,.01,-.33,.11,-.07,-.89,-.43,-.18,.11,.12,-.05,-.07,.58
1882,-.10,-.20,-.01,-.29,-.04,.01,-1.39,-.25,-.14,-.04,-.04,.01,.04,.61
1883,-.17,-.28,-.06,-.34,-.16,-.01,-.17,-.53,-.27,-.17,-.14,-.03,.07,.49
1884,-.28,-.42,-.14,-.60,-.14,-.14,-1.28,-.62,-.48,-.12,-.15,-.19,-.02,.64
1885,-.33,-.43,-.24,-.65,-.12,-.27,-1.49,-.66,-.46,-.06,-.19,-.33,-.15,.81
1886,-.31,-.42,-.20,-.56,-.19,-.21,-1.57,-.49,-.40,-.21,-.17,-.20,-.20,.58
1887,-.36,-.43,-.28,-.52,-.29,-.28,-1.75,-.49,-.29,-.29,-.29,-.27,-.26,.31
1888,-.17,-.23,-.11,-.41,.11,-.29,-1.29,-.41,-.25,.08,.14,-.31,-.23,.15
1889,-.10,-.17,-.04,-.29,.09,-.16,-.67,-.21,-.28,.03,.15,-.15,-.15,.44
1890,-.35,-.38,-.32,-.45,-.36,-.22,-1.12,-.54,-.27,-.26,-.46,-.17,-.27,.14
1891,-.22,-.26,-.19,-.43,-.07,-.21,-1.11,-.33,-.37,.01,-.15,-.18,-.24,-.17
1892,-.27,-.39,-.15,-.44,-.29,-.08,-1.12,-.66,-.18,-.32,-.25,.02,-.21,.08
1893,-.31,-.47,-.15,-.51,-.36,-.05,-.64,-.55,-.48,-.41,-.30,.07,-.20,-.05
1894,-.30,-.38,-.22,-.32,-.33,-.24,-.89,-.32,-.19,-.47,-.19,-.14,-.35,-.39
1895,-.22,-.30,-.15,-.40,-.07,-.26,-.63,-.52,-.28,-.14,.01,-.19,-.32,-.60
1896,-.11,-.19,-.03,-.34,.11,-.15,-.82,-.36,-.23,.06,.15,-.15,-.13,.24
1897,-.11,-.16,-.05,-.35,.18,-.24,-.51,-.46,-.25,.14,.21,-.19,-.27,.39
